"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AGFS","AgroFresh Solutions, Inc.","7.35","$374.14M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.5","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","6.96","$102.55M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","31.01","$1.8B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRI","Air Industries Group","1.7492","$43.49M","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"AL","Air Lease Corporation","42.58","$4.43B","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"APD","Air Products and Chemicals, Inc.","165.43","$36.22B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AIRT","Air T, Inc.","25.0854","$51.24M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","22.13","$1.31B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AYR","Aircastle Limited","20","$1.57B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AIRG","Airgain, Inc.","8.515","$82.1M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.75","$47.11M","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"AKS","AK Steel Holding Corporation","4.53","$1.43B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"AKAM","Akamai Technologies, Inc.","71.64","$12.18B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.97","$30.06M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","22.37","$1.49B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","9.95","$481.04M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","0.5425","$44.47M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","18.69","$2.34B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","4.91","$109.59M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALP^Q","Alabama Power Company","25.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","115.59","$1.35B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","5.65","$2.2B","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"ALRM","Alarm.com Holdings, Inc.","40.25","$1.9B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALK","Alaska Air Group, Inc.","65.21","$8.05B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"ALSK","Alaska Communications Systems Group, Inc.","1.51","$79.31M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"AIN","Albany International Corporation","64.25","$2.07B","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","96.87","$10.73B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"ALBO","Albireo Pharma, Inc.","33.1","$393.8M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","6.7","$95.18M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"AA","Alcoa Corporation","55.03","$10.25B","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"ALDR","Alder BioPharmaceuticals, Inc.","14.55","$987.14M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","7","$137.65M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALEX","Alexander & Baldwin, Inc.","23.18","$1.67B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","392.6","$2.01B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","122.93","$12.45B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",
"ARE^D","Alexandria Real Estate Equities, Inc.","35.2503","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/are^d",
"AXU","Alexco Resource Corp","1.53","$155.51M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/axu",
"ALXN","Alexion Pharmaceuticals, Inc.","109.48","$24.34B","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"AQN","Algonquin Power & Utilities Corp.","9.81","$4.25B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"BABA","Alibaba Group Holding Limited","174.7","$448.25B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALCO","Alico, Inc.","31.75","$261.92M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","265.5","$21.28B","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","1.12","$91.74M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALO","Alio Gold Inc.","2.06","$92.04M","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/alo",
"ALJJ","ALJ Regional Holdings, Inc.","2.19","$83.05M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","44.43","$6.89B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"Y","Alleghany Corporation","592.59","$9.12B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","25.88","$3.25B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"ABTX","Allegiance Bancshares, Inc.","40.85","$542.68M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","146.4","$2.35B","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALLE","Allegion plc","85.37","$8.13B","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",
"ALNA","Allena Pharmaceuticals, Inc.","13.68","$283.12M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna",
"AGN","Allergan plc.","166.45","$54.53B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agn",
"ALE","Allete, Inc.","73.14","$3.75B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",
"AKP","Alliance California Municipal Income Fund Inc","12.82","$109.67M","2002","n/a","n/a","https://www.nasdaq.com/symbol/akp",
"ADS","Alliance Data Systems Corporation","210.55","$11.68B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"AHGP","Alliance Holdings GP, L.P.","23.39","$1.4B","2006","Energy","Coal Mining","https://www.nasdaq.com/symbol/ahgp",
"AMMA","Alliance MMA, Inc.","0.4255","$5.39M","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/amma",
"AFB","Alliance National Municipal Income Fund Inc","12.56","$361.04M","2002","n/a","n/a","https://www.nasdaq.com/symbol/afb",
"AOI","Alliance One International, Inc.","28.75","$259M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/aoi",
"ARLP","Alliance Resource Partners, L.P.","16.55","$2.17B","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AWF","Alliance World Dollar Government Fund II","11.87","$1.02B","1993","n/a","n/a","https://www.nasdaq.com/symbol/awf",
"AB","AllianceBernstein Holding L.P.","26.9","$2.59B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",
"LNT","Alliant Energy Corporation","41.59","$9.63B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",
"CBH","AllianzGI Convertible & Income 2024 Target Term Fund","9.21","$168.15M","2017","n/a","n/a","https://www.nasdaq.com/symbol/cbh",
"NCV","AllianzGI Convertible & Income Fund","6.78","$602.96M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ncv",
"NCZ","AllianzGI Convertible & Income Fund II","5.93","$444.85M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ncz",
"ACV","AllianzGI Diversified Income & Convertible Fund","22.69","$233.14M","2015","n/a","n/a","https://www.nasdaq.com/symbol/acv",
"NIE","AllianzGI Equity & Convertible Income Fund","21.19","$587.15M","2007","n/a","n/a","https://www.nasdaq.com/symbol/nie",
"NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.76","$1.21B","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",
"AHPI","Allied Healthcare Products, Inc.","2.57","$10.31M","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","41.5","$391.22M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","2.3099","$11.56M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/alqa",
"ALSN","Allison Transmission Holdings, Inc.","41.48","$5.74B","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",
"ALLT","Allot Communications Ltd.","5.31","$178.35M","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.22","$2.17B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx",
"ALL","Allstate Corporation (The)","97.53","$34.44B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",
"ALL^A","Allstate Corporation (The)","25.28","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^a",
"ALL^B","Allstate Corporation (The)","25.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^b",
"ALL^C","Allstate Corporation (The)","25.54","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^c",
"ALL^D","Allstate Corporation (The)","26","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^d",
"ALL^E","Allstate Corporation (The)","26.12","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^e",
"ALL^F","Allstate Corporation (The)","25.93","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^f",
"ALL^G","Allstate Corporation (The)","25.349","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/all^g",
"ALLY","Ally Financial Inc.","27.38","$11.87B","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ally",
"ALLY^A","Ally Financial Inc.","26.42","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ally^a",
"AAU","Almaden Minerals, Ltd.","0.825","$84.31M","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aau",
"ALNY","Alnylam Pharmaceuticals, Inc.","95.84","$9.6B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","15.9","$380.77M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"APT","Alpha Pro Tech, Ltd.","3.3","$47.16M","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/apt",
"GOOG","Alphabet Inc.","1037.98","$721.7B","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog",
"GOOGL","Alphabet Inc.","1046.1","$727.35B","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","25.4675","$28.01M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","3.58","$91.19M","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec",
"AGD","Alpine Global Dynamic Dividend Fund","10.54","$132.27M","2006","n/a","n/a","https://www.nasdaq.com/symbol/agd",
"AWP","Alpine Global Premier Properties Fund","6.33","$540.63M","2007","n/a","n/a","https://www.nasdaq.com/symbol/awp",
"ALPN","Alpine Immune Sciences, Inc.","7.75","$107.31M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn",
"AOD","Alpine Total Dynamic Dividend Fund","9.01","$969.42M","2007","n/a","n/a","https://www.nasdaq.com/symbol/aod",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","30.005","$10.5M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/swin",
"AMR","Alta Mesa Resources, Inc.","7.13","$2.73B","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","1.44","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amrww",
"AABA","Altaba Inc.","69.92","$57.68B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba",
"ALTR","Altair Engineering Inc.","29.39","$1.86B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr",
"AYX","Alteryx, Inc.","35","$2.11B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",
"ATUS","Altice USA, Inc.","19.82","$14.61B","2017","Consumer Services","Television Services","https://www.nasdaq.com/symbol/atus",
"ALT","Altimmune, Inc.","0.836","$18.62M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt",
"AAMC","Altisource Asset Management Corp","62.25","$99.71M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/aamc",
"ASPS","Altisource Portfolio Solutions S.A.","25.7","$447.17M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","45.55","$1.34B","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc",
"MO","Altria Group","64.25","$121.72B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/mo",
"ACH","Aluminum Corporation of China Limited","15.58","$9.29B","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"ALZH","Alzheon, Inc.","n/a","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alzh",
