Company Name,Stock Volatility yearly as a percent of company average stock this year,StockURL
AAR Corp.,35.6598748993621,https://www.nasdaq.com/symbol/air
"A V Homes, Inc.",33.285917496443815,https://www.nasdaq.com/symbol/avhi
1st Constitution Bancorp (NJ),32.96703296703297,https://www.nasdaq.com/symbol/fccy
Accenture plc,32.65420823380639,https://www.nasdaq.com/symbol/acn
"AAON, Inc.",32.32323232323232,https://www.nasdaq.com/symbol/aaon
A.H. Belo Corporation,31.8840579710145,https://www.nasdaq.com/symbol/ahc
8point3 Energy Partners LP,30.64107207533503,https://www.nasdaq.com/symbol/cafd
3M Company,30.2874493029853,https://www.nasdaq.com/symbol/mmm
Acco Brands Corporation,29.804727646454264,https://www.nasdaq.com/symbol/acco
ACNB Corporation,26.749335695305582,https://www.nasdaq.com/symbol/acnb
ABB Ltd,26.685115635501084,https://www.nasdaq.com/symbol/abb
"ACI Worldwide, Inc.",26.365717743440964,https://www.nasdaq.com/symbol/aciw
Actuant Corporation,26.086956521739125,https://www.nasdaq.com/symbol/atu
"1347 Property Insurance Holdings, Inc.",25.89711051019527,https://www.nasdaq.com/symbol/pih
Access National Corporation,23.956639566395662,https://www.nasdaq.com/symbol/ancx
"Adams Natural Resources Fund, Inc.",23.866597186034404,https://www.nasdaq.com/symbol/peo
1st Source Corporation,20.852697514649428,https://www.nasdaq.com/symbol/srce
"Advanced Disposal Services, Inc.",20.450160771704176,https://www.nasdaq.com/symbol/adsw
"Aberdeen Japan Equity Fund, Inc. ",18.322295805739515,https://www.nasdaq.com/symbol/jeq
Aberdeen Asia-Pacific Income Fund Inc,17.823209083516062,https://www.nasdaq.com/symbol/fax
Aberdeen Australia Equity Fund Inc,15.433571996817816,https://www.nasdaq.com/symbol/iaf
"Aberdeen Global Income Fund, Inc.",15.087918321043675,https://www.nasdaq.com/symbol/fco
"Adams Diversified Equity Fund, Inc.",15.015015015015015,https://www.nasdaq.com/symbol/adx
"1347 Property Insurance Holdings, Inc.",14.77251372051193,https://www.nasdaq.com/symbol/pihpp
Active Alts Contrarian ETF,14.7117296222664,https://www.nasdaq.com/symbol/sqzz
Aberdeen Income Credit Strategies Fund,11.472338978969617,https://www.nasdaq.com/symbol/acp
